,city,count,latitude,longitude
0,100 Mile House,45,51.6427866,-121.2956943
1,175 St. Paul Crescent,2,43.1504421,-79.2469205
2,Abbotsford,770,49.0521162,-122.329479
3,Acton Vale,49,45.6471564,-72.5654107
4,Airdrie,780,51.28597,-114.01062
5,Ajax,463,43.8505287,-79.0208814
6,Aldergrove,53,53.5167841,-113.6412
7,Alliston,24,46.054487800000004,-62.625228911935594
8,Alma,1002,48.548887,-71.651459
9,Altona,29,49.1031109,-97.5583611
10,Alvinston,40,42.8208904,-81.8696455
11,Amherst,249,45.8286903,-64.2040548
12,Amherstburg,116,42.1013315,-83.1086458
13,Amos,236,48.5718519,-78.1160856
14,Amqui,45,48.4656706,-67.4315171
15,Ancaster,8,43.225693,-79.976692
16,Antigonish,72,45.6213607,-61.9904928
17,Arborg,35,50.9038419,-97.2224831
18,Arnprior,66,45.433515,-76.3543692
19,Arthur,73,43.8309446,-80.5355526
20,Ascot Corner,13,45.4491301,-71.7654815
21,Assiniboia,34,49.6279544,-105.98864202645085
22,Athabasca,7,55.1980385,-113.8700509
23,Atholville,34,47.9889485,-66.7205611
24,Aurora,288,43.99973,-79.467545
25,Aylmer,172,45.3950895,-75.8442452
26,Baie-comeau,716,49.2175838,-68.1524947
27,Baie-saint-paul,96,47.444343,-70.505447
28,Bancroft,73,45.0570769,-77.8537127
29,Barrhead,54,54.1688675,-114.4747952
30,Barrie,4672,44.3893113,-79.6901736
31,Barrington Passage,12,43.5272614,-65.6091642
32,Bathurst,228,47.626529,-65.654297
33,Bay Roberts,21,47.575924,-53.2833409
34,Beauceville,36,46.210725,-70.774269
35,Beauharnois,88,45.3139778,-73.875834
36,Beausejour,29,50.0619312,-96.5140821
37,Becancour,9,46.339343,-72.433205
38,Belleville,944,44.1633264,-77.3852556
39,Belmont,21,45.4246967,-63.3850444
40,Beloeil,27,45.5643183,-73.2040066
41,Beresford,11,47.7047087,-65.7032868
42,Berthierville,11,46.0828098,-73.1747099
43,Berwick,42,45.0455684,-64.7362073
44,Black Creek,42,45.615876,-77.1498692
45,Black Diamond,12,50.6845617,-114.22694703481409
46,Blainville,2858,45.67932,-73.87619
47,Blind River,22,46.188388,-82.95639
48,Bloomingdale,6,43.5095128,-80.4624378
49,Blvd Rimouski,25,48.5104006,-68.461256
50,Boisbriand,594,45.6130352,-73.8386827
51,Boischatel,434,46.896801,-71.135788
52,Bonaventure,18,48.0444351,-65.4925807
53,Bonnyville,45,54.267925,-110.741515
54,Boucherville,630,45.6050197,-73.4526144
55,Bouctouche,8,46.4735119,-64.7236147
56,Bowmanville,340,43.9122995,-78.6891675
57,Bracebridge,125,45.041508,-79.310989
58,Bradford,132,44.1171265,-79.5560133
59,Bradford West Gwillimbury,71,44.1143279,-79.5647069
60,Brampton,7060,43.6858146,-79.7599337
61,Brandon,742,49.8511143,-99.9608924
62,Brant,60,50.4194819,-113.5410668
63,Brantford,1622,43.1408157,-80.2631733
64,Brantford Ontario,45,43.1408157,-80.2631733
65,Bridgewater,125,44.3774134,-64.5193946
66,Brockville,523,44.5895925,-75.6843332
67,Brooks,111,50.571027,-111.893005
68,Brossard,2674,45.4554829,-73.4678904
69,Brunkild,7,49.5924369,-97.5737861
70,Burin,220,47.0367243,-55.1666274
71,Burlington,3552,43.3248924,-79.7966835
72,Burnaby,2235,49.2433804,-122.9725459
73,Caledon,1119,43.827060149999994,-79.9061036956765
74,Caledonia,58,43.6923702,-79.4653558
75,Calgary,15923,51.0460954,-114.065465
76,Cambridge,1121,43.3600536,-80.3123023
77,Cameron,22,49.2545398,-122.90534139950856
78,Campbell River,193,50.023071,-125.2441538
79,Campbellford,37,44.3085912,-77.798084
80,Camrose,173,53.013131,-112.840576
81,Candiac,1247,45.3867947,-73.5163824
82,Canmore,215,51.0866897,-115.3481135
83,Cap-aux-meules,4,47.377501,-61.8661738
84,Caplan,9,48.128367749999995,-65.6807855853067
85,Capreol,33,46.705969,-80.922546
86,Caraquet,17,47.7909581,-64.9491778
87,Carbonear,333,47.733123,-53.2366225
88,Cardinal,15,44.7877017,-75.3800984
89,Cardston,19,49.1930694,-113.3092962
90,Carignan,21,45.437955,-73.3554902
91,Carleton Pl,405,45.1403366,-76.1465672
92,Carleton Place,53,45.1403366,-76.1465672
93,Carlyle,39,49.633333,-102.266667
94,Carman,122,49.5082995,-98.0016853
95,Carstairs,106,51.563216,-114.1000016
96,Casselman,32,45.313529,-75.086746
97,Castlegar,20,49.316171,-117.663574
98,Causapscal,31,48.3542375,-67.2269621
99,Chambly,266,45.4473898,-73.2932002
100,"Chandler, Qc",39,48.3491804,-64.6775915
101,Channel-port Aux Basques,22,47.594932549999996,-59.132478200471056
102,Charing Cross,16,42.3326838,-82.0972525
103,Charlemagne,311,45.725519649999995,-73.4896922220162
104,Charlesbourg,240,46.89564985,-71.2908285897658
105,Charlottetown,855,46.234953,-63.132935
106,Chateau-Richer,109,46.971117,-71.017685
107,Chateauguay,296,45.3602416,-73.749364
108,Chatham,42,42.4057219,-82.1853837
109,Chatham-kent,1541,42.41833,-82.0898417
110,Chemainus,39,48.922499,-123.718414
111,Chesley,14,44.29874,-81.0952892
112,Chibougamau,143,49.9137407,-74.3713954
113,Chicoutimi,148,48.3370248,-71.12352613559267
114,Chilliwack,2515,49.157677,-121.9514307
115,"Church Point, Ns",131,44.340335,-66.1113132
116,Clarence-rockland,78,45.5247978,-75.2607533
117,Clarenville,464,48.1679902,-53.9646413
118,Claresholm,83,50.0239458,-113.5800285
119,Clarington,47,43.96868585,-78.65135738273909
120,Clermont,23,47.694512,-70.2262202
121,Coaticook,14,45.1334169,-71.803479
122,Cobourg,314,43.9595998,-78.1677784
123,Cochrane,280,51.1874627,-114.4710708
124,Cold Lake,90,54.531373,-110.06616551026912
125,Coldbrook,108,45.0682627,-64.5651667
126,Collingwood,169,44.5027226,-80.2172379
127,Conception Bay South,31,47.50674745,-52.9905179737796
128,Concord,91,45.452798,-62.7905136
129,Consort,1,52.0094273,-110.7752786
130,Contrecoeur,29,45.8573781,-73.2374307
131,Coombs,8,49.3048704,-124.4195892
132,Coquitlam,1289,49.2842958,-122.793281
133,Corner Brook,351,48.95317,-57.947388
134,Cornwall,556,45.0184417,-74.728703
135,Courtenay,452,49.6894061,-124.9954959
136,Courtice,32,43.9118139,-78.7780561
137,Cow Bay,435,44.6205054,-63.4220884
138,Cowansville,2327,45.2076125,-72.7479195
139,Cranbrook,397,49.5107477,-115.7672772
140,Creston,67,49.0971526,-116.5129759
